ending	%ULT_Tk	%PULT_Tk	%APULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk
a's	100	0	0	2	0	0
act	0	100	0	0	23	0
ady	0	100	0	0	2	0
aff	0	100	0	0	4	0
ald	0	100	0	0	21	0
aly	0	0	100	0	0	1
and	0	0	100	0	0	26
ang	5.26315789473684	0	94.7368421052632	1	0	18
ant	0	100	0	0	9	0
any	0	6.66666666666667	93.3333333333333	0	1	14
ard	0	98.3240223463687	1.67597765363128	0	176	3
art	0	100	0	0	42	0
ary	0	78.5714285714286	21.4285714285714	0	33	9
ash	0	100	0	0	3	0
ats	0	100	0	0	2	0
att	0	0	100	0	0	2
ech	100	0	0	4	0	0
edy	0	0	100	0	0	69
eng	100	0	0	3	0	0
ens	0	100	0	0	26	0
ent	0	100	0	0	19	0
enz	0	100	0	0	3	0
ers	0	100	0	0	3	0
ert	0	100	0	0	2	0
ery	0	100	0	0	2	0
esh	0	0	100	0	0	16
ess	33.3333333333333	66.6666666666667	0	10	20	0
est	1.41843971631206	32.6241134751773	65.9574468085106	4	92	186
iby	0	100	0	0	4	0
ick	0	97.752808988764	2.24719101123596	0	87	2
ics	0	100	0	0	6	0
idy	0	0	100	0	0	2
igy	0	0	100	0	0	1
ill	100	0	0	7	0	0
ilm	29.1666666666667	70.8333333333333	0	7	17	0
ing	0	100	0	0	106	0
ins	0	100	0	0	2	0
iny	0	100	0	0	1	0
isc	0	100	0	0	2	0
ish	0	100	0	0	16	0
ith	0	100	0	0	18	0
ity	0	25	75	0	1	3
oby	0	100	0	0	4	0
ock	100	0	0	8	0	0
oft	0	0	100	0	0	18
olf	100	0	0	1	0	0
oms	0	100	0	0	1	0
omy	0	0	100	0	0	2
ont	100	0	0	8	0	0
ony	0	58	42	0	29	21
oph	0	100	0	0	1	0
ord	13.8888888888889	86.1111111111111	0	5	31	0
org	0	100	0	0	1	0
ort	39.2156862745098	60.7843137254902	0	20	31	0
ory	0	0	100	0	0	3
osc	0	100	0	0	8	0
osh	0	0	100	0	0	5
oss	100	0	0	4	0	0
osy	0	100	0	0	14	0
ucy	0	100	0	0	100	0
ult	100	0	0	54	0	0
urt	0	100	0	0	36	0
ust	100	0	0	16	0	0
usy	0	100	0	0	7	0
uty	0	100	0	0	2	0
utz	100	0	0	13	0	0
