CV-structure	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty
CCCVCCCVCCV	0	100	0	0	2	0
CCCVCCCVCV	0	100	0	0	2	0
CCCVCCCVVCV	0	0	100	0	0	1
CCCVCCVCCCV	0	66.66666667	33.33333333	0	2	1
CCCVCCVCCV	0	92.85714286	7.142857143	0	65	5
CCCVCCVCCVV	0	100	0	0	2	0
CCCVCCVCV	0	83.10810811	16.89189189	0	123	25
CCCVCCVV	0	100	0	0	4	0
CCCVCCVVCCCV	0	100	0	0	1	0
CCCVCCVVCCV	0	100	0	0	12	0
CCCVCCVVCV	0	87.80487805	12.19512195	0	36	5
CCCVCCVVV	0	100	0	0	3	0
CCCVCV	0	100	0	0	1	0
CCCVCVCC	0	100	0	0	1	0
CCCVCVCCCV	0	66.66666667	33.33333333	0	2	1
CCCVCVCCCVV	0	100	0	0	3	0
CCCVCVCCV	0	81.69014085	18.30985915	0	58	13
CCCVCVCCVV	0	100	0	0	1	0
CCCVCVCV	0	79.5620438	20.4379562	0	109	28
CCCVCVCVV	0	100	0	0	3	0
CCCVCVV	0	100	0	0	3	0
CCCVCVVCCV	0	100	0	0	6	0
CCCVCVVCV	0	100	0	0	21	0
CCCVVCCVCCV	0	100	0	0	4	0
CCCVVCCVCCVV	0	100	0	0	1	0
CCCVVCCVCV	0	85.71428571	14.28571429	0	6	1
CCCVVCCVVCCV	0	100	0	0	6	0
CCCVVCCVVCV	0	87.5	12.5	0	7	1
CCCVVCCVVV	0	100	0	0	1	0
CCCVVCV	0	100	0	0	2	0
CCCVVCVCCV	0	93.75	6.25	0	15	1
CCCVVCVCV	0	79.16666667	20.83333333	0	19	5
CCCVVVCCV	0	100	0	0	1	0
CCCVVVCV	0	100	0	0	5	0
CCCVVVV	0	100	0	0	1	0
CCVCCCVCCV	0	97.36842105	2.631578947	0	37	1
CCVCCCVCV	0	82.45614035	17.54385965	0	47	10
CCVCCCVCVV	0	100	0	0	2	0
CCVCCCVV	0	100	0	0	1	0
CCVCCCVVCCV	0	100	0	0	5	0
CCVCCCVVCV	0	95.65217391	4.347826087	0	22	1
CCVCCVCCCV	0	91.66666667	8.333333333	0	11	1
CCVCCVCCCVV	0	100	0	0	3	0
CCVCCVCCVV	0	100	0	0	22	0
CCVCCVCV	0	74.97757848	25.02242152	0	836	279
CCVCCVCVV	0	100	0	0	16	0
CCVCCVV	0	83.78378378	16.21621622	0	31	6
CCVCCVVCCCV	0	100	0	0	1	0
CCVCCVVCCV	0	93.81443299	6.18556701	0	91	6
CCVCCVVCCVV	0	100	0	0	1	0
CCVCCVVCV	0.346020761	90.31141869	9.342560554	1	261	27
CCVCCVVCVV	0	100	0	0	1	0
CCVCCVVV	0	100	0	0	9	0
CCVCVCC	0	0	100	0	0	1
CCVCVCCCV	0	92.85714286	7.142857143	0	13	1
CCVCVCCCVV	0	100	0	0	3	0
CCVCVCCV	0	95.75757576	4.242424242	0	632	28
CCVCVCCVV	0	100	0	0	46	0
CCVCVCV	0.207039337	72.36024845	27.43271222	2	699	265
CCVCVCVCC	0	0	100	0	0	2
CCVCVCVV	1.639344262	95.08196721	3.278688525	1	58	2
CCVCVV	0	84.84848485	15.15151515	0	28	5
CCVCVVCCCV	0	100	0	0	2	0
CCVCVVCCV	0	100	0	0	47	0
CCVCVVCV	0	93.87755102	6.12244898	0	184	12
CCVCVVCVV	0	100	0	0	2	0
CCVCVVV	0	100	0	0	3	0
CCVCVVVCV	0	100	0	0	2	0
CCVVCCCV	0	100	0	0	6	0
CCVVCCCVCCV	0	100	0	0	3	0
CCVVCCCVCV	0	80	20	0	4	1
CCVVCCCVVCV	0	0	100	0	0	3
CCVVCCV	0	100	0	0	37	0
CCVVCCVCCV	0	100	0	0	21	0
CCVVCCVCCVV	0	100	0	0	3	0
CCVVCCVCV	0	78.94736842	21.05263158	0	60	16
CCVVCCVV	0	100	0	0	3	0
CCVVCCVVCCV	0	33.33333333	66.66666667	0	2	4
CCVVCCVVCV	0	81.48148148	18.51851852	0	22	5
CCVVCCVVV	0	100	0	0	2	0
CCVVCCVVVV	0	100	0	0	3	0
CCVVCV	0	63.93442623	36.06557377	0	39	22
CCVVCVCCCV	0	80	20	0	4	1
CCVVCVCCCVV	0	100	0	0	1	0
CCVVCVCCV	0	77.87610619	22.12389381	0	88	25
CCVVCVCCVV	0	100	0	0	3	0
CCVVCVCV	0	73.75886525	26.24113475	0	104	37
CCVVCVV	0	100	0	0	4	0
CCVVCVVCV	0	100	0	0	8	0
CCVVV	0	100	0	0	1	0
CCVVVCCV	0	100	0	0	3	0
CCVVVCV	0	100	0	0	13	0
CCVVVVCV	0	100	0	0	6	0
CVCCCCV	0	100	0	0	2	0
CVCCCCVCCVV	0	100	0	0	1	0
CVCCCCVCV	0	66.66666667	33.33333333	0	2	1
CVCCCV	0	0	100	0	0	1
CVCCCVCCCV	0	100	0	0	3	0
CVCCCVCCCVV	0	100	0	0	2	0
CVCCCVCCV	0	98.23321555	1.766784452	0	278	5
CVCCCVCCVV	0	100	0	0	14	0
CVCCCVCV	0	83	17	0	249	51
CVCCCVCVCC	0	50	50	0	1	1
CVCCCVCVV	0	100	0	0	20	0
CVCCCVV	0	91.66666667	8.333333333	0	11	1
CVCCCVVCCV	0	100	0	0	42	0
CVCCCVVCCVV	0	100	0	0	2	0
CVCCCVVCV	0	89.61038961	10.38961039	0	138	16
CVCCCVVV	0	100	0	0	3	0
CVCCCVVVV	0	100	0	0	2	0
CVCCVCC	0	16.66666667	83.33333333	0	1	5
CVCCVCCCV	0	92.63157895	7.368421053	0	88	7
CVCCVCCCVV	0	100	0	0	32	0
CVCCVCCV	0.115740741	94.79166667	5.092592593	3	2457	132
CVCCVCCVCC	25	0	75	1	0	3
CVCCVCCVV	0	100	0	0	214	0
