3lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
aah	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abb	NA	NA	28	72	0	2.45398773	90.79754601	6.748466258	0	1.470588235	85.29411765	13.23529412	0	0	0	100	0	NA	NA	NA	NA	NA	14	36	0	4	148	11	0	1	58	9	0	0	0	8	0	NA	NA	NA
abe	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abi	NA	NA	0.740740741	11.11111111	88.14814815	4.320987654	87.65432099	0	8.024691358	0	46.37681159	53.62318841	0	0	100	0	0	NA	NA	NA	NA	NA	1	15	119	7	142	0	13	0	32	37	0	0	6	0	0	NA	NA	NA
abo	NA	NA	100	0	0	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	0	3	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
aca	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc	0	100	4.421052632	95.57894737	0	6.705539359	66.47230321	26.82215743	0	6.201550388	72.09302326	14.72868217	6.976744186	0	56.52173913	43.47826087	0	NA	NA	NA	0	17	21	454	0	23	228	92	0	8	93	19	9	0	13	10	0	NA	NA	NA
ace	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aci	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acq	0	100	8.108108108	67.56756757	24.32432432	2.702702703	83.78378378	13.51351351	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	594	3	25	9	2	62	10	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA
acr	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	0	NA	NA	NA	NA	NA	NA	NA
acu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ada	NA	NA	1.123595506	98.87640449	0	4.166666667	87.5	8.333333333	0	0	72.72727273	27.27272727	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	88	0	1	21	2	0	0	8	3	0	NA	NA	NA	NA	NA	NA	NA
add	NA	NA	3.278688525	96.72131148	0	31.91489362	65.95744681	2.127659574	0	0	100	0	0	0	75	25	0	NA	NA	NA	NA	NA	4	118	0	15	31	1	0	0	113	0	0	0	3	1	0	NA	NA	NA
ade	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	286	0	0	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adi	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ado	NA	NA	5.882352941	94.11764706	0	7.142857143	67.85714286	25	0	0	60	30	10	0	0	100	0	NA	NA	NA	NA	NA	1	16	0	2	19	7	0	0	6	3	1	0	0	1	0	NA	NA	NA
adr	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aer	NA	NA	NA	NA	NA	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	72	0	0	46	0	0	NA	NA	NA	NA	NA	NA	NA
afa	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aff	25	75	19.81132075	80.18867925	0	2.162162162	95.13513514	2.702702703	0	0	66.12903226	33.87096774	0	0	0	66.66666667	33.33333333	0	100	NA	1	3	42	170	0	4	176	5	0	0	41	21	0	0	0	2	1	0	1	NA
afr	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	14	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age	NA	NA	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	41	0	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agg	0	100	1.265822785	98.73417722	0	7.936507937	61.9047619	30.15873016	0	8.333333333	66.66666667	25	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	78	0	5	39	19	0	1	8	3	0	NA	NA	NA	NA	NA	NA	NA
agi	0	100	12.82051282	48.71794872	38.46153846	0	79.31034483	6.896551724	13.79310345	0	70	30	0	NA	NA	NA	NA	NA	NA	NA	0	4	5	19	15	0	23	2	4	0	7	3	0	NA	NA	NA	NA	NA	NA	NA
agl	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agn	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ago	0	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	28	0	10	0	0	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agr	NA	NA	0	100	0	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	0	11	0	0	22	0	0	NA	NA	NA	NA	NA	NA	NA
agu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ahh	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ahi	0	100	100	0	0	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	54	21	0	0	NA	NA	NA	NA	0	22	0	0	NA	NA	NA	NA	NA	NA	NA
