CV-structure	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk
CCCVCCCVCCV	0	100	0	0	3	0
CCCVCCCVCV	0	100	0	0	71	0
CCCVCCCVVCV	0	0	100	0	0	3
CCCVCCVCCCV	0	71.42857143	28.57142857	0	10	4
CCCVCCVCCV	0	94.01408451	5.985915493	0	267	17
CCCVCCVCCVV	0	100	0	0	5	0
CCCVCCVCV	0	83.64332604	16.35667396	0	1529	299
CCCVCCVV	0	100	0	0	5	0
CCCVCCVVCCCV	0	100	0	0	1	0
CCCVCCVVCCV	0	100	0	0	26	0
CCCVCCVVCV	0	86.62420382	13.37579618	0	136	21
CCCVCCVVV	0	100	0	0	10	0
CCCVCV	0	100	0	0	10	0
CCCVCVCC	0	100	0	0	7	0
CCCVCVCCCV	0	66.66666667	33.33333333	0	2	1
CCCVCVCCCVV	0	100	0	0	4	0
CCCVCVCCV	0	89.2393321	10.7606679	0	481	58
CCCVCVCCVV	0	100	0	0	2	0
CCCVCVCV	0	61.00104275	38.99895725	0	585	374
CCCVCVCVV	0	100	0	0	10	0
CCCVCVV	0	100	0	0	5	0
CCCVCVVCCV	0	100	0	0	26	0
CCCVCVVCV	0	100	0	0	455	0
CCCVVCCVCCV	0	100	0	0	12	0
CCCVVCCVCCVV	0	100	0	0	1	0
CCCVVCCVCV	0	96.42857143	3.571428571	0	27	1
CCCVVCCVVCCV	0	100	0	0	24	0
CCCVVCCVVCV	0	94.28571429	5.714285714	0	66	4
CCCVVCCVVV	0	100	0	0	1	0
CCCVVCV	0	100	0	0	2	0
CCCVVCVCCV	0	97.14285714	2.857142857	0	34	1
CCCVVCVCV	0	92.09039548	7.90960452	0	163	14
CCCVVVCCV	0	100	0	0	6	0
CCCVVVCV	0	100	0	0	41	0
CCCVVVV	0	100	0	0	1	0
CCVCCCVCCV	0	99.57081545	0.429184549	0	232	1
CCVCCCVCV	0	84.07643312	15.92356688	0	132	25
CCVCCCVCVV	0	100	0	0	7	0
CCVCCCVV	0	100	0	0	9	0
CCVCCCVVCCV	0	100	0	0	15	0
CCVCCCVVCV	0	93.87755102	6.12244898	0	46	3
CCVCCVCCCV	0	95.83333333	4.166666667	0	23	1
CCVCCVCCCVV	0	100	0	0	6	0
CCVCCVCCVV	0	100	0	0	78	0
CCVCCVCV	0	62.8686071	37.1313929	0	9871	5830
CCVCCVCVV	0	100	0	0	372	0
CCVCCVV	0	85.05747126	14.94252874	0	74	13
CCVCCVVCCCV	0	100	0	0	1	0
CCVCCVVCCV	0	97.71428571	2.285714286	0	684	16
CCVCCVVCCVV	0	100	0	0	1	0
CCVCCVVCV	0.126662445	89.2020266	10.67131096	4	2817	337
CCVCCVVCVV	0	100	0	0	1	0
CCVCCVVV	0	100	0	0	17	0
CCVCVCC	0	0	100	0	0	1
CCVCVCCCV	0	89.0625	10.9375	0	57	7
CCVCVCCCVV	0	100	0	0	11	0
CCVCVCCV	0	96.09650312	3.903496883	0	14180	576
CCVCVCCVV	0	100	0	0	680	0
CCVCVCV	0.127969732	67.85177767	32.0202526	23	12195	5755
CCVCVCVCC	0	0	100	0	0	3
CCVCVCVV	0.097370983	98.8315482	1.071080818	1	1015	11
CCVCVV	0	85.6557377	14.3442623	0	209	35
CCVCVVCCCV	0	100	0	0	3	0
CCVCVVCCV	0	100	0	0	561	0
CCVCVVCV	0	97.29653619	2.703463813	0	3455	96
CCVCVVCVV	0	100	0	0	6	0
CCVCVVV	0	100	0	0	8	0
CCVCVVVCV	0	100	0	0	2	0
CCVVCCCV	0	100	0	0	13	0
CCVVCCCVCCV	0	100	0	0	74	0
CCVVCCCVCV	0	92.30769231	7.692307692	0	12	1
CCVVCCCVVCV	0	0	100	0	0	84
CCVVCCV	0	100	0	0	696	0
CCVVCCVCCV	0	100	0	0	156	0
CCVVCCVCCVV	0	100	0	0	6	0
CCVVCCVCV	0	66.48648649	33.51351351	0	123	62
CCVVCCVV	0	100	0	0	173	0
CCVVCCVVCCV	0	21.42857143	78.57142857	0	3	11
CCVVCCVVCV	0	68.55123675	31.44876325	0	194	89
CCVVCCVVV	0	100	0	0	11	0
CCVVCCVVVV	0	100	0	0	16	0
CCVVCV	0	88.19374369	11.80625631	0	874	117
CCVVCVCCCV	0	20.93023256	79.06976744	0	9	34
CCVVCVCCCVV	0	100	0	0	8	0
CCVVCVCCV	0	76.92307692	23.07692308	0	520	156
CCVVCVCCVV	0	100	0	0	32	0
CCVVCVCV	0	72.42254952	27.57745048	0	2852	1086
CCVVCVV	0	100	0	0	45	0
CCVVCVVCV	0	100	0	0	75	0
CCVVV	0	100	0	0	1	0
CCVVVCCV	0	100	0	0	21	0
CCVVVCV	0	100	0	0	34	0
CCVVVVCV	0	100	0	0	10	0
CVCCCCV	0	100	0	0	3	0
CVCCCCVCCVV	0	100	0	0	1	0
CVCCCCVCV	0	63.63636364	36.36363636	0	7	4
CVCCCV	0	0	100	0	0	1
CVCCCVCCCV	0	100	0	0	9	0
CVCCCVCCCVV	0	100	0	0	10	0
CVCCCVCCV	0	97.10991788	2.890082123	0	6149	183
CVCCCVCCVV	0	100	0	0	117	0
CVCCCVCV	0	57.99275216	42.00724784	0	5761	4173
CVCCCVCVCC	0	40.74074074	59.25925926	0	11	16
CVCCCVCVV	0	100	0	0	670	0
CVCCCVV	0	98.75	1.25	0	79	1
CVCCCVVCCV	0	100	0	0	170	0
CVCCCVVCCVV	0	100	0	0	3	0
CVCCCVVCV	0	90.89285714	9.107142857	0	1018	102
CVCCCVVV	0	100	0	0	416	0
CVCCCVVVV	0	100	0	0	122	0
CVCCVCC	0	1.098901099	98.9010989	0	1	90
CVCCVCCCV	0	98.75706215	1.242937853	0	874	11
CVCCVCCCVV	0	100	0	0	134	0
CVCCVCCV	0.01540154	97.67436744	2.310231023	7	44393	1050
CVCCVCCVCC	3.571428571	0	96.42857143	1	0	27
CVCCVCCVV	0	100	0	0	4406	0
CVCCVCV	0.00740122	73.29322577	26.69937301	7	69320	25252
CVCCVCVCC	55	45	0	11	9	0
CVCCVCVV	0	100	0	0	4288	0
CVCCVCVVV	0	100	0	0	107	0
CVCCVV	0	91.01711027	8.982889734	0	1915	189
CVCCVVCCCV	0	87.14285714	12.85714286	0	61	9
CVCCVVCCCVV	0	100	0	0	1	0
CVCCVVCCV	0	98.27631928	1.723680721	0	3706	65
CVCCVVCCVV	0	100	0	0	262	0
CVCCVVCV	0	92.09578785	7.904212151	0	16114	1383
CVCCVVCVV	0	100	0	0	58	0
CVCCVVV	0	100	0	0	550	0
CVCCVVVCV	0	100	0	0	6	0
CVCCVVVV	0	100	0	0	313	0
CVCCAVCCCV	0	100	0	0	145	0
CVCCAVCCV	0	100	0	0	48	0
CVCCAVCV	0	100	0	0	6	0
CVCCAVCVV	0	100	0	0	2	0
CVCCAVVCV	0	100	0	0	12	0
CVCVCC	0	0	100	0	0	5
CVCVCCCV	0	99.95429616	0.045703839	0	4374	2
CVCVCCCVCC	100	0	0	2	0	0
CVCVCCCVV	0	100	0	0	446	0
CVCVCCV	0	98.38560728	1.614392722	0	57530	944
CVCVCCVCC	11.69590643	0	88.30409357	20	0	151
CVCVCCVV	0.0678196	99.9321804	0	4	5894	0
CVCVCV	0.016723395	71.98241092	28.00086568	17	73173	28464
CVCVCVCC	6.25	42.1875	51.5625	4	27	33
CVCVCVCV	100	0	0	21	0	0
CVCVCVCVV	100	0	0	5	0	0
CVCVCVV	0.067069081	99.79879276	0.134138162	3	4464	6
CVCVCVVV	0	100	0	0	23	0
CVCVV	0	68.92074655	31.07925345	0	2548	1149
CVCVVCCCV	0	100	0	0	100	0
CVCVVCCV	0.095602294	99.87253027	0.031867431	3	3134	1
CVCVVCCVV	0	100	0	0	8	0
CVCVVCV	0	89.85298653	10.14701347	0	8740	987
CVCVVCVV	0	100	0	0	35	0
CVCVVV	0	100	0	0	223	0
CVCVVVCV	0	100	0	0	6	0
CVCVVVV	0	100	0	0	2	0
CVCSCVV	0	100	0	0	5	0
CVVCCCV	0	100	0	0	874	0
CVVCCCVCCCV	0	100	0	0	5	0
CVVCCCVCCV	0	100	0	0	169	0
CVVCCCVCCVV	0	100	0	0	3	0
CVVCCCVCV	0	96.36363636	3.636363636	0	53	2
CVVCCCVV	0	100	0	0	4	0
CVVCCCVVCV	0	100	0	0	1	0
CVVCCCVVV	0	100	0	0	3	0
CVVCCV	2.671755725	96.81933842	0.508905852	42	1522	8
CVVCCVCCCV	0	100	0	0	21	0
CVVCCVCCV	0.067567568	98.51351351	1.418918919	1	1458	21
CVVCCVCCVCC	100	0	0	8	0	0
CVVCCVCCVV	0	100	0	0	48	0
CVVCCVCV	0	92.60567823	7.394321767	0	7339	586
CVVCCVCVV	0	100	0	0	427	0
CVVCCVV	0	100	0	0	199	0
CVVCCVVCCV	0	100	0	0	39	0
CVVCCVVCCVV	0	100	0	0	22	0
CVVCCVVCV	0	92.34567901	7.654320988	0	1122	93
CVVCCVVCVV	0	100	0	0	3	0
CVVCCVVV	0	100	0	0	7	0
CVVCV	0	70.71285428	29.28714572	0	4940	2046
CVVCVCCCV	0	90.90909091	9.090909091	0	10	1
CVVCVCCV	0	95.69536424	4.304635762	0	3179	143
CVVCVCCVV	0	100	0	0	253	0
CVVCVCV	0	52.21932115	47.78067885	0	3800	3477
CVVCVCVCC	0	0	100	0	0	18
CVVCVCVV	0	100	0	0	641	0
CVVCVV	0	54.50643777	45.49356223	0	127	106
CVVCVVCCV	0	100	0	0	59	0
CVVCVVCV	0	99.86666667	0.133333333	0	749	1
CVVCVVV	0	100	0	0	2	0
CVVCAVCCV	0	100	0	0	1	0
CVVVCCCV	0	100	0	0	13	0
CVVVCCV	0	100	0	0	35	0
CVVVCCVCCV	0	100	0	0	2	0
CVVVCV	0	87.80487805	12.19512195	0	144	20
CVVVCVCCV	0	100	0	0	3	0
CVVVCVCV	0	75	25	0	6	2
CVVVV	0	100	0	0	1	0
CVVVVCCV	0	100	0	0	128	0
CVVVVCV	0	42.37288136	57.62711864	0	25	34
CVSCVCV	0	0	100	0	0	2
CSCVCCV	0	100	0	0	2	0
CSCVCV	15	0	85	3	0	17
CAVCCCVCCV	0	100	0	0	58	0
CAVCCCVCCVV	0	100	0	0	5	0
CAVCCCVCV	0	35	65	0	7	13
CAVCCCVCVV	0	100	0	0	13	0
CAVCCCVV	0	100	0	0	2	0
CAVCCCVVCV	0	100	0	0	3	0
CAVCCVCCV	0	99.71346705	0.286532951	0	348	1
CAVCCVCCVV	0	100	0	0	22	0
CAVCCVCV	0	63.04347826	36.95652174	0	29	17
CAVCCVCVV	0	100	0	0	5	0
CAVCCVV	0	100	0	0	1	0
CAVCVCCCV	0	100	0	0	3	0
CAVCVCCV	0	53.33333333	46.66666667	0	8	7
CAVCVCCVV	0	100	0	0	34	0
CAVCVCV	0	32.17213115	67.82786885	0	157	331
CAVCVCVV	0	100	0	0	37	0
CAVCVV	0	100	0	0	1	0
CAVCVVCV	0	58.33333333	41.66666667	0	7	5
CAVCVVV	0	100	0	0	1	0
CAVVCVCVV	0	100	0	0	1	0
VCCCCVV	0	100	0	0	3	0
VCCCVCC	0	0	100	0	0	17
VCCCVCCCV	0	100	0	0	245	0
VCCCVCCCVV	0	100	0	0	1	0
VCCCVCCV	0	98.54419411	1.455805893	0	2843	42
VCCCVCCVCC	0	100	0	0	1	0
VCCCVCCVV	0	100	0	0	235	0
VCCCVCV	0.021593608	92.05355215	7.924854243	1	4263	367
VCCCVCVCCV	100	0	0	2	0	0
VCCCVCVV	0	100	0	0	142	0
VCCCVV	0	99.5	0.5	0	398	2
VCCCVVCCCV	0	100	0	0	23	0
VCCCVVCCV	0	100	0	0	452	0
VCCCVVCCVV	0	100	0	0	2	0
VCCCVVCV	0	100	0	0	418	0
VCCCVVVV	0	100	0	0	3	0
VCCVCC	0	0	100	0	0	2
VCCVCCCV	0	98.25673534	1.743264659	0	1240	22
VCCVCCCVCC	100	0	0	10	0	0
VCCVCCCVV	0	100	0	0	364	0
VCCVCCCVVCCVCVCV	0	100	0	0	3	0
VCCVCCV	0	97.40924604	2.590753956	0	31395	835
VCCVCCVCC	100	0	0	17	0	0
VCCVCCVV	0	100	0	0	1337	0
VCCVCV	0.00405976	67.5523709	32.44356934	2	33279	15983
VCCVCVCC	100	0	0	2	0	0
VCCVCVV	0	100	0	0	1788	0
VCCVCVVV	0	100	0	0	15	0
VCCVV	0	98.07507218	1.924927815	0	3057	60
VCCVVCCCV	0	100	0	0	10	0
VCCVVCCV	0	100	0	0	2552	0
VCCVVCCVV	0	100	0	0	4	0
VCCVVCV	0	95.74617436	4.253825635	0	6820	303
VCCVVCVV	0	100	0	0	39	0
VCCVVV	0	91.89189189	8.108108108	0	34	3
VCCVVVCV	0	100	0	0	51	0
VCCVVVV	0	100	0	0	80	0
VCCSCCV	0	100	0	0	1	0
VCCAVCCV	0	100	0	0	11	0
VCCAVVCV	0	100	0	0	3	0
VCVCCCV	0	100	0	0	628	0
VCVCCCVV	0	100	0	0	202	0
VCVCCV	0	99.03846154	0.961538462	0	10506	102
VCVCCVCC	100	0	0	5	0	0
VCVCCVV	0	100	0	0	2808	0
VCVCV	0	71.82867058	28.17132942	0	23595	9254
VCVCVCC	0	0	100	0	0	10
VCVCVCCV	100	0	0	25	0	0
VCVCVV	0	100	0	0	4329	0
VCVCVVV	0	100	0	0	11	0
VCVV	0	72.6132024	27.3867976	0	1331	502
VCVVCCCV	0	100	0	0	9	0
VCVVCCV	0	100	0	0	955	0
VCVVCCVV	0	100	0	0	3	0
VCVVCV	0	97.07565162	2.924348379	0	1527	46
VCVVCVV	0	100	0	0	4	0
VCVVV	0	100	0	0	5	0
VVCCCVCV	0	100	0	0	4	0
VVCCCVCVV	0	100	0	0	62	0
VVCCV	0	100	0	0	40	0
VVCCVCCV	0	100	0	0	10	0
VVCCVCCVV	0	100	0	0	1	0
VVCCVCV	0	86.92307692	13.07692308	0	113	17
VVCCVCVV	0	100	0	0	20	0
VVCCVVCV	0	100	0	0	1	0
VVCV	4.347826087	23.91304348	71.73913043	2	11	33
VVCVCCV	0	99.44521498	0.554785021	0	717	4
VVCVCCVCC	100	0	0	7	0	0
VVCVCCVV	0	100	0	0	1	0
VVCVCV	0	49.41046426	50.58953574	0	1341	1373
VVCVCVV	0	100	0	0	130	0
VVCVV	0	14.81481481	85.18518519	0	4	23
VVCVVCV	0	100	0	0	36	0
VVVCCV	0	100	0	0	5	0
VVVCV	0	100	0	0	576	0
VSCVCV	0	0	100	0	0	2
SCVCV	41.66666667	0	58.33333333	5	0	7
